Year,Type,Annual_Revenue,Previous_Year_Revenue,Revenue_Growth_Percentage
2016,"Product 1",3221079.11,NULL,NULL
2017,"Product 1",6909480.44,3221079.11,114.508250
2018,"Product 1",14323027.26,6909480.44,107.295286
2019,"Product 1",26604363.55,14323027.26,85.745395
2020,"Product 1",36257877.54,26604363.55,36.285454
2021,"Product 1",16606181.72,36257877.54,-54.199796
2018,"Product 2",807385.20,NULL,NULL
2019,"Product 2",5763897.53,807385.20,613.896852
2020,"Product 2",12952249.54,5763897.53,124.713390
2021,"Product 2",6470633.01,12952249.54,-50.042400
