Year,Type,Revenue_Type,Total_Revenue
2016,"Product 1","New Sales",3221079.11
2017,"Product 1","New Sales",2370735.38
2017,"Product 1","Organic Growth",4538745.06
2018,"Product 1","New Sales",5735161.70
2018,"Product 1","Organic Growth",8587865.56
2019,"Product 1","New Sales",8724563.33
2019,"Product 1","Organic Growth",17879800.22
2020,"Product 1","New Sales",6328370.66
2020,"Product 1","Organic Growth",29929506.88
2021,"Product 1","New Sales",1430449.16
2021,"Product 1","Organic Growth",15175732.56
2018,"Product 2","New Sales",807385.20
2019,"Product 2","New Sales",4677196.76
2019,"Product 2","Organic Growth",1086700.77
2020,"Product 2","New Sales",5261719.19
2020,"Product 2","Organic Growth",7690530.35
2021,"Product 2","New Sales",589748.85
2021,"Product 2","Organic Growth",5880884.16
