"Client Key",Product_1_Revenue,Product_2_Revenue,Product_2_As_Percent_of_Product_1
AC-003202,2506887.01,960559.44,38.316822
AC-003215,572824.36,279117.21,48.726491
AC-003452,2614651.55,1177182.51,45.022539
AC-003625,1284476.23,607828.37,47.321107
AC-004105,92801.04,53327.11,57.463914
AC-004164,602064.36,255459.55,42.430605
AC-003874,242499.76,151269.39,62.379192
AC-003474,83901.30,21835.74,26.025509
AC-003170,573747.72,160823.52,28.030355
AC-003271,262612.56,131289.65,49.993667
AC-003321,602901.32,188643.58,31.289296
AC-003546,514153.94,166441.63,32.371945
AC-003670,7737795.46,2764292.19,35.724545
AC-003866,1358760.26,423318.19,31.154737
AC-003907,99105.21,21441.12,21.634705
AC-004038,733716.60,405840.43,55.312968
AC-004167,161997.96,78871.56,48.686761
AC-004169,523831.07,289460.42,55.258353
AC-004247,220482.07,116937.49,53.037188
AC-004533,117524.65,58806.62,50.037690
AC-004622,814482.75,414721.29,50.918364
AC-004818,54340.33,32397.48,59.619586
AC-005032,80618.72,31920.55,39.594464
AC-005269,80271.61,37643.11,46.894674
AC-005456,91388.17,50626.09,55.396765
AC-005619,1096389.20,576797.47,52.608824
AC-005760,200773.54,128530.82,64.017808
AC-005781,142640.23,114703.92,80.414845
AC-005825,329633.58,172402.74,52.301328
AC-005878,362330.39,224726.04,62.022410
AC-005904,314573.37,157428.91,50.045212
AC-005924,355702.77,174778.68,49.136159
AC-005959,307059.63,150855.15,49.128943
AC-006017,25875.00,14426.97,55.756406
AC-003900,68100.42,33365.58,48.994676
AC-005861,125191.28,103466.88,82.647034
AC-005896,58728.08,30619.43,52.137632
AC-005963,52838.73,23475.46,44.428509
AC-006004,65401.70,36476.41,55.772877
AC-006033,86661.29,43828.11,50.574034
AC-005071,97294.64,45963.08,47.241122
AC-005931,110987.52,57805.47,52.082856
AC-005992,195110.85,87037.74,44.609380
AC-005996,118490.59,65780.23,55.515151
AC-003620,11229237.73,6079438.02,54.139365
AC-000293,281170.52,163160.53,58.029032
AC-004795,12876.33,9431.09,73.243618
AC-003204,779996.69,404960.78,51.918269
AC-001352,528238.11,291023.45,55.093232
AC-002622,23125444.59,4335043.71,18.745775
AC-003358,143951.23,88878.34,61.741980
AC-003539,355866.64,89692.10,25.203852
AC-003566,318602.99,196516.50,61.680683
AC-003623,394950.23,239886.64,60.738448
AC-003753,57814.10,38143.50,65.976120
AC-003891,387308.87,234431.84,60.528394
AC-003898,187219.86,31755.20,16.961448
AC-004229,102730.24,72215.01,70.295767
AC-004237,796180.02,460731.53,57.867758
AC-004462,79178.46,51379.92,64.891285
AC-004522,126841.73,79009.65,62.289950
AC-004624,95744.63,67449.04,70.446813
AC-004627,296848.27,170550.81,57.453867
AC-005098,92429.00,62592.05,67.719060
AC-005146,54595.85,46306.03,84.816025
AC-005223,12321.73,4173.67,33.872435
AC-005309,49884.32,24699.98,49.514517
AC-005727,111308.64,84692.33,76.087831
AC-005747,80306.76,39979.69,49.783717
AC-005767,51649.34,34930.05,67.629228
AC-005787,84596.97,43631.69,51.575949
AC-005803,266967.29,141442.07,52.981049
AC-006112,76170.48,48835.51,64.113433
AC-007732,63397.78,32132.58,50.684078
AC-008122,45857.66,23624.13,51.516213
AC-008225,62133.03,36187.59,58.242114
AC-008233,23195.19,16465.30,70.985838
AC-008339,41528.36,20744.17,49.951816
AC-008349,296318.79,222727.97,75.164984
AC-008644,59897.17,40608.12,67.796392
AC-004684,77833.60,49226.28,63.245539
AC-008162,111225.07,71892.47,64.636929
AC-005057,43386.92,25293.78,58.298169
AC-000241,156145.00,102540.79,65.670236
AC-006926,9866.68,3541.51,35.893634
AC-008684,3923.92,1927.68,49.126384
AC-003164,11576.88,4808.34,41.533988
AC-003181,60260.29,36384.66,60.379165
AC-003514,131463.28,64433.52,49.012561
AC-004132,58303.45,34013.12,58.338091
AC-004239,44184.82,32484.36,73.519277
AC-004294,9617.61,6494.32,67.525300
AC-004461,19465.06,12799.01,65.753766
AC-005532,23467.60,18796.81,80.096857
AC-005956,78265.48,62681.47,80.088271
AC-006129,54417.81,23737.53,43.620884
AC-006314,37495.95,20722.49,55.265942
AC-006428,24659.16,12705.82,51.525762
AC-007234,16946.96,6598.63,38.936954
AC-007449,106233.92,42779.92,40.269549
AC-009116,63170.11,42321.39,66.995910
AC-009139,4152.66,5661.72,136.339599
AC-009965,31283.83,19591.21,62.624078
AC-009967,13147.39,9290.13,70.661401
AC-010249,3274.81,1249.42,38.152442
AC-010709,15365.89,13894.80,90.426262
AC-011104,9944.17,4773.50,48.003001
AC-011108,4592.22,1348.40,29.362705
AC-011226,55859.64,25274.28,45.246049
AC-013436,27485.58,12619.36,45.912657
AC-013547,41809.52,28808.94,68.905216
AC-013548,12095.22,11867.70,98.118926
AC-014040,27582.61,12183.23,44.169968
AC-007178,5147.64,2829.90,54.974707
AC-010669,10680.49,7256.91,67.945478
AC-012023,11670.75,6793.81,58.212283
AC-011280,5286.83,2542.47,48.090633
AC-015052,922.75,72.09,7.812517
AC-014081,4267.15,1929.59,45.219643
